videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
YyI8K_Ds6pQ,1,電影與動畫_Film & Animation,130907045,1127255,3169,27.0,3272676.125
9oNkS30MzHI,2,汽車與車輛_Autos & Vehicles,27687924,62,0,31.0,485753.05263157893
MncKz3Tz_GM,15,寵物與動物_Pets & Animals,108350414,752591,182,31.0,2355443.782608696
5YuJ_FiesMs,15,寵物與動物_Pets & Animals,588340,27809,1515,944.0,15901.081081081082
LVBEKf8qWz0,15,寵物與動物_Pets & Animals,38534898,620382,871,21.0,786426.4897959183
u0dk_uA8V-I,15,寵物與動物_Pets & Animals,51422066,230009,60,16.0,1224334.9047619049
_FGQpNkOR_o,15,寵物與動物_Pets & Animals,66358950,280097,206,12.0,1354264.2857142857
KpXGLtPFCx4,22,部落格與人物_People & Blogs,136777680,1250343,599,59.0,2735553.6
GRhOiA7b3WM,22,部落格與人物_People & Blogs,110786399,1055731,408,60.0,2408399.9782608696
ZeUEEbhXTXA,22,部落格與人物_People & Blogs,45290040,622223,339,50.0,984566.0869565217
WIvYETX0hBk,22,部落格與人物_People & Blogs,77514684,499244,610,15.0,1937867.1
oyZ7DFeXwr4,22,部落格與人物_People & Blogs,44311580,572904,250,60.0,1055037.619047619
3RS6waLl9oM,24,娛樂_Entertainment,3180758,46625,2340,1460.0,72289.95454545454
PdtOgJ8Y9n8,24,娛樂_Entertainment,2673454,36847,2961,1948.0,50442.52830188679
lACc63nfn6s,24,娛樂_Entertainment,7373960,2,1,18.0,124982.37288135593
4MaPgEWdemY,24,娛樂_Entertainment,5389554,67859,388,57.0,122489.86363636363
9SQWLC1UQGY,24,娛樂_Entertainment,4521552,19170,335,13.0,83732.44444444444
igf1GDl21aA,24,娛樂_Entertainment,1556530,91962,4367,702.0,31130.6
SvgJqUiPIEw,24,娛樂_Entertainment,4529131,64589,317,19.0,100647.35555555555
6a7Nj-KK_8c,24,娛樂_Entertainment,4336598,72060,777,45.0,88502.0
RekhyCvEZ5Y,24,娛樂_Entertainment,1333915,27826,1429,938.0,31759.880952380954
xH4ZHXl7i-M,24,娛樂_Entertainment,2233232,5,0,66.0,34357.415384615386
q16e36bML7E,26,生活風格與教學_Howto & Style,24937966,46,0,16.0,656262.2631578947
I_iq2BWD1sk,28,自然與科技_Science & Technology,1420193,7268,197,17.0,37373.5
n-q0kz9u5bc,28,自然與科技_Science & Technology,4075757,79124,2387,58.0,110155.5945945946
wTCC50Z4qdQ,28,自然與科技_Science & Technology,24370690,440,64,21.0,386836.34920634923
