videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
FYBSJB6WMec,2,汽車與車輛_Autos & Vehicles,10516890,96,8,68.0,269663.8461538461
pO9UAxN2I8g,2,汽車與車輛_Autos & Vehicles,4923484,1227,0,16.0,114499.62790697675
mGonk6Ek3cE,2,汽車與車輛_Autos & Vehicles,4397419,1654,0,16.0,102265.55813953489
IslN18VtIhg,10,音樂_Music,58938773,512066,255,43.0,2266875.8846153845
6ugIIERolxc,15,寵物與動物_Pets & Animals,62584482,413078,97,31.0,2721064.434782609
q1GQNtKwo64,15,寵物與動物_Pets & Animals,62783425,253484,210,9.0,1793812.142857143
yvupdfzoOqE,15,寵物與動物_Pets & Animals,44709912,289661,165,25.0,1397184.75
UoxhuV59PcA,17,運動_Sports,29400606,225239,3772,29.0,1130792.5384615385
r6_1FC6XqOE,17,運動_Sports,25183693,140076,202,16.0,786990.40625
rOoctZdvyro,22,部落格與人物_People & Blogs,47806132,299842,383,21.0,1770597.4814814816
r9AvuWfA0YU,22,部落格與人物_People & Blogs,48610614,983664,595,47.0,1869639.0
rK5gw382qmU,22,部落格與人物_People & Blogs,41204579,250645,102,23.0,1420847.551724138
Y5CqmMTpul0,22,部落格與人物_People & Blogs,83273331,2107476,5117,123.0,2871494.172413793
ZV4pYDma8yk,22,部落格與人物_People & Blogs,36899362,202431,100,27.0,1419206.2307692308
QDGhxndape8,24,娛樂_Entertainment,6342947,46,2,21.0,166919.65789473685
RaTvDPfueAE,24,娛樂_Entertainment,4508806,68948,4388,1626.0,145445.35483870967
WdEGWO5SQEw,24,娛樂_Entertainment,5821611,114204,1335,60.0,242567.125
BwbGQXKDUkQ,24,娛樂_Entertainment,8011203,108688,1333,20.0,276248.3793103448
0BGwYS3G1cw,24,娛樂_Entertainment,4922476,55657,532,27.0,153827.375
X4LCP3yeJco,24,娛樂_Entertainment,5856702,31,0,88.0,177475.81818181818
pn10Ra1SQsY,24,娛樂_Entertainment,4189750,57164,955,55.0,119707.14285714286
rFKXBTZ5D-8,24,娛樂_Entertainment,5550789,23037,230,13.0,168205.72727272726
zzpl1soWIHk,24,娛樂_Entertainment,11839708,31683,130,20.0,438507.7037037037
AkDM7BFArDg,24,娛樂_Entertainment,13530689,124173,2752,13.0,541227.56
M0rtFSZQys0,24,娛樂_Entertainment,2162155,12118,444,200.0,50282.67441860465
JeAueUfL-S8,24,娛樂_Entertainment,5344680,26052,310,14.0,167021.25
ukXNQ_bIoIU,24,娛樂_Entertainment,1865590,18046,1794,6919.0,51821.944444444445
q16e36bML7E,26,生活風格與教學_Howto & Style,24937996,46,0,16.0,656263.052631579
1nP45TNIIKM,28,自然與科技_Science & Technology,61590283,37008,0,1663.0,2799558.3181818184
